Mass,-2sigma,-1sigma,Expected,+1sigma,+2sigma,Observed
100.0,0.8824854787734866,0.4412427393867433,0.7105982905982906,0.4412427393867433,0.8824854787734866,0.5120481927710844
106.0,0.5530283152048474,0.2765141576024237,0.46895119418483905,0.2765141576024237,0.5530283152048474,0.3248792270531401
112.0,0.5426611695752028,0.2713305847876014,0.48286252354048964,0.2713305847876014,0.5426611695752028,0.4908172635445363
118.0,0.4822284821413638,0.2411142410706819,0.43174603174603177,0.2411142410706819,0.4822284821413638,1.1323333333333334
124.0,0.43326010709151724,0.21663005354575862,0.3770833333333333,0.21663005354575862,0.43326010709151724,1.362984496124031
130.0,0.3914305506265871,0.19571527531329355,0.3314102564102564,0.19571527531329355,0.3914305506265871,0.8701646090534979
136.0,0.3639104566996471,0.18195522834982356,0.3030225627926777,0.18195522834982356,0.3639104566996471,0.3251851851851852
142.0,0.3291186282639808,0.1645593141319904,0.2940707523667165,0.1645593141319904,0.3291186282639808,0.23730803974706416
148.0,0.314337011079146,0.157168505539573,0.28369408369408367,0.157168505539573,0.314337011079146,0.3992967651195499
154.0,0.2730454425496905,0.13652272127484524,0.2751370204285003,0.13652272127484524,0.2730454425496905,0.4257142857142857
160.0,0.37881851827983787,0.18940925913991893,0.34503968253968254,0.18940925913991893,0.37881851827983787,0.40875
